Plot,Label,Treatment,Block,Herbivory,perN,LTOUGH,Det,Litter,Plant,Roots,Forbs,Grass,Isopods,IsopodsWt,Worms,N_Sol_June,Theight_Sol_June,NE_Oct,Nitrate_Oct,NE_June,Nitrate_June,SIR_June,SIR_Oct,NitrateS_June,NS_June,NitrateS_Oct,NS_Oct,POSI_June,FRVE_June,CLME_June,TRAG_June,EULA_June,RUHI_June,Fern_june,Solidago_Oct,POSI_Oct,gNadded,AmmoniumE_Oct_Old,AmmoniumE_Oct_New,NE_Oct_New
11,0,3,3,0,2.2,0.1557771,1.512,0.374,9.134,85.391,5.369,3.765,20,0.124,1,2,232.5,2.705173628,0,5.810733999,0.094560031,2.153273931,1.80814416,0.295195982,0.29523323,0.065227401,0.065233866,0,1,0,1,0,0,0,1,1,0.153819243,2.705173628,3.175020299,3.175020299
12,0,1,3,0,2.2,0.1557771,0.478,0.785,10.073,83.353,5.961,4.112,1,0.004,0,4,428.5,2.045116787,0,4.136044162,0.050056846,2.159948877,1.688516253,0.129328661,0.129378088,0.050980987,0.05099506,0,1,0,1,0,0,0,1,1,0.153819243,2.045116787,2.417571235,2.417571235
13,1,4,4,1,3.3333,0.2747149,2.584,0.325,7.047,101.659,0.33,6.717,3,0.017,1,2,216,3.077344019,0,4.189064879,0.01511454,1.738820482,1.860695155,0.328039417,0.328073899,0.231736549,0.231772783,1,0,0,1,0,0,0,0,0,0.233967158,3.077344019,3.792088605,3.792088605
14,1,1,4,0,2.6667,0.1799857,3.261,1.382,11.172,74.697,4.484,6.688,0,0,1,3,344,2.395049008,0,4.477738143,0.019878131,2.006331107,2.171542408,0.161027826,0.161068565,0.126063267,0.126090905,1,1,0,0,0,0,0,1,1,0.184204701,2.395049008,2.927298387,2.927298387
15,1,2,4,1,3.3333,0.2747149,1.471,1.262,9.544,87.124,4.873,4.671,2,0.009,5,1,135,2.914253348,0,5.219385714,0.019878131,2.343418649,2.300564168,0.401728893,0.401764217,0.04707704,0.047111553,1,1,0,1,0,0,0,1,1,0.233967158,2.914253348,3.633147979,3.633147979
16,1,3,4,0,2.6667,0.1799857,0.454,0.192,8.661,68.922,3.225,5.436,8,0.019,8,1,122,2.550978045,0,3.929433684,0.035759662,2.093770731,1.781460363,0.214082361,0.214108144,0.047857858,0.047881933,1,0,1,1,0,0,0,1,1,0.184204701,2.550978045,3.187184433,3.187184433
17,0,3,5,0,2.2,0.1557771,1.587,0.222,5.477,79.734,1.502,3.975,3,0.05,2,1,105,3.17008396,0,4.550578441,0.026230209,1.809481343,1.903164443,0.253784982,0.253813462,0.042782292,0.042782292,1,0,0,0,0,0,0,0,1,0.153819243,3.17008396,3.729047551,3.729047551
18,0,4,5,1,3.0333,0.3305,0.625,0.534,7.313,36.727,5.517,1.796,10,0.049,7,1,115,3.854798822,0.757282033,4.249300009,0.035759662,1.505625878,1.631339042,0.457612534,0.457643893,0.025989639,0.025989639,1,1,0,0,0,0,0,1,1,0.213801478,3.097516789,3.677489488,4.434771521
19,0,2,5,1,3.0333,0.3305,1.104,0.273,12.417,78.983,6.439,5.978,0,0,3,4,434,3.066290882,0,4.410423123,0.035759662,2.278372001,1.547255044,0.249142475,0.249177798,0.060153874,0.060153874,1,1,0,0,0,0,0,1,1,0.213801478,3.066290882,3.654621486,3.654621486
20,0,1,5,0,2.2,0.1557771,0.925,0.593,6.187,90.705,1.984,4.203,3,0.018,3,0,0,3.232158176,0,3.333183962,0.050056846,1.910711331,1.66253601,0.310126063,0.310159944,0.101115338,0.101118663,0,0,0,0,0,0,0,1,0,0.153819243,3.232158176,3.78217096,3.78217096
21,0,1,6,0,2.2,0.1557771,2.763,0.535,6.491,44.483,4.3,2.191,2,0.021,2,2,248,3.345568318,0.030334194,3.874025564,0.024642123,2.087592898,2.075055585,0.19416341,0.194207286,0.045124935,0.045136645,0,0,0,0,0,0,0,0,1,0.153819243,3.315234125,3.856221547,3.886555741
22,0,3,6,0,2.2,0.1557771,1.579,0.312,7.319,53.152,2.997,4.322,2,0.007,3,3,330.5,3.157501199,0,2.37770047,0.024642123,1.716480055,1.874215989,0.166089431,0.166130054,0.02950492,0.029514662,1,0,0,0,0,0,0,1,1,0.153819243,3.157501199,3.687041798,3.687041798
23,0,4,6,1,3.0333,0.3305,1.663,0.331,6.208,58.816,3.785,2.423,7,0.051,5,1,107,2.205824427,0,3.389092665,0.030994736,1.419023954,1.619069144,0.233433091,0.233471674,0.096046026,0.096051837,0,1,0,0,1,0,0,0,1,0.213801478,2.205824427,2.651341038,2.651341038
24,0,2,6,1,3.0333,0.3305,2.408,0.478,7.729,81.727,4.611,3.118,0,0,0,3,331.5,2.805619866,0,5.157806634,0.058001284,2.138398853,1.686730954,0.255179987,0.255224469,0.063276115,0.063276115,1,0,0,0,0,0,0,1,1,0.213801478,2.805619866,3.30703579,3.30703579
25,1,1,7,0,2.6667,0.1799857,2.891,1.356,6.186,86.157,0.035,6.151,1,0.002,1,2,244.5,1.910117253,0,3.741962579,0.017225166,2.583041301,2.069309235,0.216428491,0.216464322,0.092443442,0.092458718,0,1,0,0,0,0,0,0,0,0.184204701,1.910117253,2.142872773,2.142872773
26,1,3,7,0,2.6667,0.1799857,1.874,0.704,11.136,52.259,7.669,3.467,6,0.037,4,3,386,2.9145229,7.36E-07,5.084372538,0.02407,2.022688783,1.981692039,0.157032225,0.15708623,0.094289599,0.094331387,0,1,0,0,0,0,0,1,0,0.184204701,2.914522163,3.261698122,3.261698859
27,1,4,7,1,3.3333,0.2747149,2.048,0.282,8.368,74.884,3.369,4.999,3,0.016,5,1,113,2.143489144,0,3.966895633,0.012091847,2.010219169,1.727071513,0.242944867,0.243011979,0.047990066,0.048035876,1,0,0,0,0,0,0,1,1,0.233967158,2.143489144,2.4050467,2.4050467
28,1,2,7,1,3.3333,0.2747149,2.019,0.744,13.056,74.633,0.311,12.745,2,0.004,9,1,130,1.98233043,0,4.361269373,0.013802924,2.100128644,1.716410357,0.284927777,0.284976046,0.095904588,0.095946376,0,1,0,0,0,0,0,0,1,0.233967158,1.98233043,2.220282933,2.220282933
29,1,2,8,1,3.3333,0.2747149,1.218,1.15,11.082,78.896,0.148,10.934,3,0.008,0,1,125,2.911200563,0,4.892053077,0.001825993,3.153105283,1.896268673,0.125642999,0.125681755,0.041948844,0.041986618,0,0,1,1,0,0,0,0,0,0.233967158,2.911200563,3.265305701,3.265305701
30,1,3,8,0,2.6667,0.1799857,0.343,0.443,11.024,127.422,0.105,10.919,4,0.026,3,3,322.5,2.411996474,0,3.459236853,0.006958789,1.926544331,1.684565362,0.114851668,0.114891274,0.033110144,0.033142307,1,0,1,0,0,0,0,0,0,0.184204701,2.411996474,2.703041636,2.703041636
31,1,4,8,1,3.3333,0.2747149,6.319,1.058,7.226,94.19,0.58,6.646,5,0.05,5,5,584,1.397494369,0,2.949469981,0.008669779,2.384630361,1.639772489,0.250069975,0.25010685,0.139368811,0.139393247,1,0,0,1,0,0,0,1,0,0.233967158,1.397494369,1.567716803,1.567716803
32,1,1,8,0,2.6667,0.1799857,3.968,0.828,9.862,103.236,3.296,6.566,5,0.027,5,7,778,1.949943019,0.011293512,2.832267475,0,1.81130033,1.666634455,0.282212105,0.28223947,0.054026161,0.054045283,0,0,0,0,0,0,0,1,0,0.184204701,1.938649507,2.175305958,2.18659947
33,0,1,9,0,2.2,0.1557771,4.368,0.333,15.049,137.536,10.191,4.858,1,0.002,6,3,345,1.804729821,0,2.696592333,0.029203931,1.636057962,1.635074853,0.237035307,0.237064971,0.071640734,0.071643454,0,0,0,1,0,1,0,1,1,0.153819243,1.804729821,2.019142446,2.019142446
34,0,2,9,1,3.0333,0.3305,1.815,0.146,11.957,84.543,6.228,5.729,0,0,1,7,795,1.996249882,0,5.672397199,0.039472579,,1.653131638,0.280035359,0.280071809,0.072566603,0.072572885,1,0,0,0,0,0,0,1,1,0.213801478,1.996249882,2.23130192,2.23130192
35,0,3,9,0,2.2,0.1557771,2.467,0.85,9.59,55.043,8.095,1.495,7,0.026,6,5,591,2.457328428,0,3.89447049,0,2.27283154,1.615225384,0.223527341,0.22356367,0.074649365,0.074664377,0,0,0,0,0,0,0,1,1,0.153819243,2.457328428,2.750695847,2.750695847
36,0,4,9,1,3.0333,0.3305,2.059,0.314,11.341,82.421,7.964,3.377,0,0,4,3,347,2.877832597,0,4.325994006,0,2.732437912,1.897171413,0.262388725,0.262429181,0.172530726,0.1725464,1,0,0,0,0,0,0,1,1,0.213801478,2.877832597,3.221887995,3.221887995
37,1,4,10,1,3.3333,0.2747149,2.811,0.097,13.376,84.825,0.49,12.886,10,0.031,22,2,269,2.554843481,0.105644334,4.434120652,0.013802924,2.07174725,2.158478061,0.299392947,0.29942673,0.245377095,0.245388134,0,0,0,0,0,0,0,1,0,0.233967158,2.449199147,2.739529486,2.84517382
38,1,3,10,0,2.6667,0.1799857,6.011,0.796,8.625,132.853,0,8.625,8,0.038,12,4,608.5,1.555853576,0,5.157183235,0,2.707311493,1.992544066,0.302056154,0.302090058,0.014233203,0.01424689,0,1,0,0,0,0,0,0,0,0.184204701,1.555853576,1.747069893,1.747069893
39,1,1,10,0,2.6667,0.1799857,4.77,0.821,13.074,81.795,11.362,1.712,3,0.006,11,5,608.5,1.987596719,0,3.866804762,0,1.897731958,1.783120994,0.243068761,0.243110918,0.037763456,0.037770003,1,0,0,1,0,0,0,1,0,0.184204701,1.987596719,2.227912752,2.227912752
40,1,2,10,1,3.3333,0.2747149,1.249,0.046,7.7,98.17,5.307,2.393,4,0.034,9,3,345.5,1.212342109,0,3.98294788,0,1.689085786,1.735417467,0.292131546,0.292170302,0.03787975,0.037880889,1,0,0,1,0,0,0,1,1,0.233967158,1.212342109,1.359599862,1.359599862
41,0,1,11,NA,NA,NA,3.998,0,10.872,123.957,7.203,3.669,1,0.014,2,1,139,2.234567019,0,4.788379802,0.025781281,2.657134951,1.716342561,0.210269972,0.210288036,0.023794417,0.023794417,1,0,0,0,0,1,0,1,1,,2.234567019,2.494568359,2.494568359
42,0,3,11,NA,NA,NA,2.075,0,7.019,70.834,5.564,1.455,6,0.018,4,1,121,2.45339285,0,3.80961291,0.005247828,1.765342735,1.32027632,0.188596152,0.188634848,0.031480767,0.031481709,1,0,1,0,0,0,0,1,1,,2.45339285,2.733865552,2.733865552
43,0,3,11,NA,NA,NA,2.231,0,6.704,59.955,3.055,3.649,4,0.025,2,7,595.5,6.870037642,0,4.457816726,0.001825993,2.114153952,1.657473923,0.228591699,0.228622755,0.038461192,0.038461738,1,0,1,0,0,0,0,0,1,,6.870037642,7.676485769,7.676485769
44,0,1,11,NA,NA,NA,2.83,0,6.937,72.663,4.084,2.853,3,0.01,5,3,318,2.920795435,0,4.498099164,0.0309153,2.412933654,1.51015749,0.276408001,0.276435608,0.028686686,0.028686686,0,0,1,0,0,1,0,1,1,,2.920795435,3.267240295,3.267240295
